Nome escola;Endereço;Número;Complemento;Bairro;Municipio;Telefone;Contato;E-mail;CEP;Diretoria;Supervisor(a);Períodos disponíveis
E.E. Dr. Morato de Oliveira;Rua Amelia Guerra;550;;Vila Amorim;Suzano;4746-2044;;;08610-000;Diretoria de Ensino de Suzano;Tatiana Freitas Franca de Melo;
E.E. Profª Jussara Feitosa Domschke;Rua Santa Rosa;152;;Jardim Portugalia;Suzano;4747-4141;;;08613-040;Diretoria de Ensino de Suzano;Tatiana Freitas Franca de Melo;
E.E.E.F Manuel dos Santos Paiva;Rua Jose Dantas ;112;;Vila Maluf;Suzano;4747-1897;;;08685-080;Diretoria de Ensino de Suzano;Tatiana Freitas Franca de Melo;
E.E. Profº Paulo Kobayashi;Rua Mauricio Mariano ;171;;Vila Maluf;Suzano;4741-1995;;;08685-140;Diretoria de Ensino de Suzano;Tatiana Freitas Franca de Melo;
E.E. Profª Jandyra Coutinho;Rua Waldomiro Dias Tavares;5;;Jardim Gardenia Azul;Suzano;4749-4947;;;08696-410;Diretoria de Ensino de Suzano;Tatiana Freitas Franca de Melo;
E.E. Profº Antonio Brasilio Menezes da Fonseca;Rua Edmilson Marcelino Rodrigues ;1544;;Bairro Miguel Badra;Suzano;4749-8039;;;08690-185;Diretoria de Ensino de Suzano;Tatiana Freitas Franca de Melo;
E.E. Comendador Jacques Yves Cousteau;Rua Benedito Lucas Parreira;1123;;Bairro Miguel Badra;Suzano;4749-1982;;;08650-390;Diretoria de Ensino de Suzano;Tatiana Freitas Franca de Melo;
E.E. Profº David Jorge Cure;Avenida Itapeti;500;;Bairro Boa Vista;Suzano;4749-2977;;;08693-210;Diretoria de Ensino de Suzano;Tatiana Freitas Franca de Melo;
E.E. Profº Masaite Sekine;Avenida Itapeti;530;;Bairro Boa Vista;Suzano;4749-5430;;;08693-200;Diretoria de Ensino de Suzano;Tatiana Freitas Franca de Melo;
E.E. Profº Gilberto de Carvalho;Estrada do Marengo;189;;Bairro Boa Vista;Suzano;4749-4490;;;08693-200;Diretoria de Ensino de Suzano;Tatiana Freitas Franca de Melo;
