Nome escola;Endereço;Número;Complemento;Bairro;Municipio;Telefone;Contato;E-mail;CEP;Diretoria;Supervisor(a);Períodos disponíveis
E.E. Dr Morato de Oliveira;Rua Amelia Guerra;550;;Vila Amorim;Suzano;4746-2044;;;08610-000;Diretoria de Ensino de Suzano;Tatiana Freitas Franca de Melo;
E.E. Profª Jussara Feitosa Domschke;Rua Santa Rosa;152;;Jardim Portugalia;Suzano;4747-4141;;;08613-040;Diretoria de Ensino de Suzano;Tatiana Freitas Franca de Melo;
E.E.E.F Manuel dos Santos Paiva;Rua Jose Dantas ;112;;Vila Maluf;Suzano;4747-1897;;;08685-080;Diretoria de Ensino de Suzano;Tatiana Freitas Franca de Melo;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
