Nome escola;Endereço;Número;Complemento;Bairro;Municipio;Telefone;Contato;E-mail;CEP;Diretoria;Supervisor(a);Períodos disponíveis
E.E. Profº Geraldo Justiniano;Rua Basilio Valente de Aguiar;19;;Vila São Jorge;Suzano;4742-9376;;;08675-160;Diretoria de Ensino de Suzano;Ligya Lima dos Santos;M / T
E.E.Profª Luiza Hidaka;Rua José Correia Gonçalves;120;;Vila São Jorge;Suzano;4747-9551;;;08675-130;Diretoria de Ensino de Suzano;Ligya Lima dos Santos;T
E.E. Roberto Bianchi;Estrada Keida Harada;99;;Vila Ipelandia;Suzano;4742-6500;;;08620-050;Diretoria de Ensino de Suzano;Ligya Lima dos Santos;M / T
E.E. Drº Giovanni Bastista Raffo;Rod. Indio Tibiriçá ;66;;Vila Sol;Suzano;4747-1110;;;08655-000;Diretoria de Ensino de Suzano;Ligya Lima dos Santos;M
E.E.Profº Benedita de Campos Marco Longo;Rua Treze ;300;;Jd Vitoria;Suzano;4747-5083;;;08664-425;Diretoria de Ensino de Suzano;Ligya Lima dos Santos;T
E.E. Zeikichi Fukuoka;Rua Caramuru;111;;Cidade Edson;Suzano;4746-2277;;;08665-330;Diretoria de Ensino de Suzano;Ligya Lima dos Santos;M / T
E.E. Profª Alice Romanos;Rua Profª Luiza Hidaka;428;;Jd Luela;Suzano;4746-6529;;;08616-330;Diretoria de Ensino de Suzano;Ligya Lima dos Santos;M / T
E.E. Profº Jose Benedito Leite Bartholomei;Rua Paulo Ernani Braga ;61;;Jd São Jose ;Suzano;4749-1800;;;08695-080;Diretoria de Ensino de Suzano;Ligya Lima dos Santos;T / N 
E.E. Sebastião Pereira Vidal;Av. Brasilia ;1020;;Vila Urupes ;suzano;4747-1374;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
